Id,Infraestructura,lon,lat,alt
1,Bodegas de materiales,-78.46395,-3.56047,824
2,Parqueadero,-78.46382,-3.56051,824
3,Almacenamiento de semillas,-78.46378,-3.56044,824
4,Bodega de equipos,-78.46391,-3.56045,824
5,Bodega de contingencias,-78.46408,-3.56043,824
6,Orquideario,-78.46422,-3.56049,824
7,Area de produccion de plantas,-78.46406,-3.56061,824
8,Taller,-78.46387,-3.56063,824
9,Bodega,-78.46384,-3.56067,824
10,Bodega rescate biotico,-78.46374,-3.56046,824
11,Area de compostaje,-78.46412,-3.56049,824
12,Area de adaptacion de plantas,-78.46418,-3.56054,824
13,Germinador,-78.46425,-3.56057,824
14,Acopio de desechos,-78.46433,-3.56065,824
15,Lavado de botas y ropa,-78.46431,-3.56062,824
16,Baños,-78.46437,-3.56059,824
17,Almacenamiento de combustible,-78.46440,-3.56055,824
18,Area cuarentena de plantas,-78.46421,-3.56044,824
